Title,Text,Section
Ronit Roy says he addressed Hrithik Roshan as ‘sir’ on Kaabil to take the ‘safe route’: ‘Hrithik said I have a problem with you’,"Ronit Roy worked with Hrithik Roshan in the 2017 film Kaabil. In a recent interview, Ronit recalled the time he spent with Hrithik on the shoot of the film. Ronit said that although he had known the actor for many years, he had never worked with the star so when he landed up on set, he found it best to address him as ‘sir’. But this didn’t go well with Hrithik as he objected to it the next day.

“I was cast in a film where he is the star so you don’t really know what to do so you take the safe route. So I said, ‘Good morning, sir.’ He is the lead of the film so the safest way is to call him sir,” Ronit shared with Lehren Retro. The actor said that he had spent time with Hrithik before but the two had actually never worked together. He recalled that the after the first day went by, Hrithik called him to his van the next day.

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
Tiger 3 box office Day 11 early reports: Salman Khan’s film earns around Rs 5.75 crore,"Salman Khan’s Tiger 3 has worked majorly in favour of the Bollywood star who was going through a rough patch. The third installment in the Tiger franchise will soon cross the Rs 250-crore mark in India, but it might not repeat the success of Pathaan, Gadar 2 and Jawan. This week, the movie has struggled to cross the Rs 10 crore mark, earning Rs 7.35 crore and Rs 6.70 crore on Monday and Tuesday, respectively. According to early estimates (posted at 10 pm) by industry tracker Sacnilk, the film has collected on Rs 5.75 crore on Wednesday. This brings the Indian box office collection of Tiger 3 to Rs 249.70 crore.

Meanwhile, the movie has crossed the Rs 400-crore mark worldwide, which has brought joy to Salman’s fans, who have been waiting for such a hit from the star for a while now.

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
Vir Das on International Emmy win for Best Comedy: ‘I hope we all just get sillier’,"He’s still “just a guy on a stool” for whom the audience’s laughter will always be more precious than accolades, says Vir Das, the first Indian comic to win an International Emmy Award.

Das won the award for his Netflix stand-up special Vir Das: Landing in the best comedy category at a ceremony in New York on Monday night. He tied with the much acclaimed British series Derry Girls for the coveted prize.

“The job is to take the beautiful chosen people of the world and humanise them a little bit by making an idiot out of myself… I hope we all just get sillier and continue to be fools,” the actor-comic, who returned home on Wednesday, told PTI in a virtual interview.

Advertisement

The future of the Indian comedy scene is “tremendous”, the 41-year-old said.

“I’m underslept. The phone has been going a little insane. But I’m just grateful. I don’t think anything has fully sunk in yet. Luckily, I have a long flight back to India to process all of it.”

An award, he said, is a gift and recognition laughter.

“In my speech, I made sure to thank the Indian people for their laughter. I said it was the soundtrack to my life,” he said.

Advertisement

Injecting a note of reality as he celebrates his first International Emmy trophy, Vir Das said it will get him “maybe 30 seconds extra applause” when he walks out on the stage. After that, it will only be about the laughs.

“I will have to make them (the audience) laugh. At the end of the day, they will be like, ‘We have paid for this, so make us laugh.'”

Das, who has often courted trouble over his quirky, observational performances and social media posts, is already readying for shows in Chandigarh and Bengaluru.

Advertisement

He was one of the three Indians to be nominated at the 51st International Emmy Awards along with Shefali Shah for Delhi Crime season two (Netflix) and Jim Sarbh for Rocket Boys (SonyLIV). Besides, producer Ektaa R Kapoor of Balaji Productions was honoured with the International Emmy Directorate Award.

View this post on Instagram A post shared by Vir Das (@virdas)

The comic said there was “a bit of suspense” at the awards gala when the winner for best comedy category was going to be announced because two envelopes made an appearance on the stage all of a sudden.

“I tied with ‘Derry Girls’, one of the best shows in the world,” he added.

That they were surprised to hear their name called out is generally a cliched response but the comedian said he only went to the International Emmy Awards with the intent to root for Shefali Shah, who was vying for a win in the best performance by an actress category. She was bested by Karla Souza of La Caida, a Mexican show.

“I really considered my job to be there to root for Shefali. She is a once-in-a-generation talent… I was just kind of focusing my energy on her. I was genuinely surprised (when I won).

“As much as Netflix India is gigantic and has a worldwide footprint, I’m still just a guy on a stool. So, to be in a category with Derry Girls, which is a massive Netflix show, itself is an achievement. So, when they said (the winner is) Vir Das: Landing, I was very, very surprised,” he said.

Advertisement

Vir Das kind of fumbled his way up to the stage, but he got his thank yous right which was very important.

“I said many things. The second I got off the stage, I panicked (wondering) did I thank everyone? I hope I didn’t mess it up. (I said to myself) No, you thanked your wife, your family, Netflix and everybody who worked on it.”

Advertisement

Vir Das: Landing is Das’ fourth special with Netflix. This was his second nod at the International Emmys; first one, also with the streamer, was for Vir Das: For India in 2021.

Through Vir Das: Landing, the aim was to tell the world what his “idea of home” is, the comic said.

Advertisement

He was born in Dehradun and spent the first 14 years of his life in Lagos, Nigeria. He has also lived in Haryana, Delhi-NCR, and the US.

Das, who is now based out of Mumbai, said he is fortunate to be a “global Indian comedy voice”.

“I get to travel the world. It’s a tremendous privilege. What that comes with is I spend eight months a year missing home sometimes during a world tour. The germ of the show is from there. I miss home and a lot of times if I’m in New York or London, there are 3,000 people in the room, out of which 1,500 are Indians who haven’t been in a room with so many Indians in a really long time. You are their catch-up, their update with home. That’s what the central feeling of the show was. I don’t think there could be a better stage for the show to get some love than an international stage,” he said.

His win comes almost a month after the sudden demise of popular American actor and comedian Matthew Perry. The late actor is best known for the popular 1990s sitcom Friends, in which he played the iconic role of socially awkward but amiable Chandler Bing who uses sarcasm to get by in life.

Das, who had shared a heartfelt tribute for Perry on social media after his passing, said the Friends star essayed his part like a lovable fool.

“The jester’s job, the joker’s job, the fool’s job is to make fun of people to make them seem beautiful. That’s what Matthew Perry did very well in a scene. He made the other person look good by being how silly he could be.”

Vir Das, also known for films such as Go Goa Gone, Delhi Belly, and Love Aaj Kal, has several acting projects lined up for 2024.

“I just wrapped up a show which should be out soon… I co-directed a feature that goes on floor in February that I’ll star in. It will be my co-directorial debut of sorts. I should have an American piece of content out soon too. It (2024) is an acting year, a heavy acting year,” he said.

While the Primetime Emmy Awards recognise shows produced in America, the International Academy of Television Arts and Sciences conducts the International Emmys with the aim to honour “the world’s best television”.",Bollywood
"Orry responds to being a ‘liver’, says he never wants to be asked ‘what he does for a living’ again: ‘The cat’s out of the bag’","Orry responds to being a ‘liver’, says he never wants to be asked ‘what he does for a living’ again: ‘The cat’s out of the bag’

Orry responds to being a ‘liver’, says he never wants to be asked ‘what he does for a living’ again: ‘The cat’s out of the bag’

Socialite Orhan Awatramani aka Orry, who once said that he was ‘working on himself’ when he was asked about his job, has once again gone viral for his comment about being a ‘liver’. In a recent interview with MensXP, Orry spoke about his life and adventures, but did not reveal what he does for a living.

A clip from the chat is being widely circulated on social media where Orry can be heard saying, “I am living, I’m a liver. I’m here to live, I’m living. Yeah I am liver.” Orry reposted the clip on his Instagram story and wrote, “I never ever want to be asked ‘Bhai tu karta kya hai’ ever again. Now you know Cat’s out of the bag.”

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
Animal trailer: Ranbir Kapoor chokes Rashmika Mandanna for pointing out his daddy issues in Sandeep Reddy Vanga’s hyper-violent Kabir Singh follow up,"After unveiling a teaser some weeks ago, followed by several songs that revealed more footage from the movie, T-Series has now released the first trailer for the hotly anticipated Animal. Directed by Sandeep Reddy Vanga and starring Ranbir Kapoor in the lead role, the film has been described as a romantic crime thriller, and is proudly wearing its adults-only tag. In Animal, Ranbir plays the scion of a business family, who goes on a hyper-violent revenge mission his beloved father is attacked.

The trailer begins with Ranbir Kapoor and Anil Kapoor’s characters play-acting a memory from the past. This exchange highlights the toxic dynamic that they share, but also establishes the intensity with which the protagonist hero worships his dad. As the years go by, Ranbir’s character starts acting out, much to the concern of his parents. After his dad is attacked, Ranbir’s character vows to never leave his family’s side, and swears vengeance. It’s like The Godfather, but with a Punjabi rap video aesthetic.

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
"Madhur Bhandarkar says Tamannaah Bhatia did not get her due, reveals why he believed ‘punk’ Prateik Babbar could play a migrant worker","Madhur Bhandarkar says Tamannaah Bhatia did not get her due, reveals why he believed ‘punk’ Prateik Babbar could play a migrant worker

Madhur Bhandarkar says Tamannaah Bhatia did not get her due, reveals why he believed ‘punk’ Prateik Babbar could play a migrant worker

Filmmaker Madhur Bhandarkar, who is currently in Goa for the 54th International Film Festival of India, has opened up about how Tamannaah Bhatia has yet to get her due in the industry. Bhandarkar also spoke about his film India Lockdown and said that his team was not keen on casting Prateik Babbar.

In a conversation with Taran Adarsh, the filmmaker spoke about the movie Babli Bouncer and said, “I feel happy for Tamannaah Bhatia. I feel Tamannaah Bhatia is a very talented actress, but she has not got her due. She has worked in the South. Absolutely good looking, very talented person. I think Babli Bouncer changed her graph.”

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
Shah Rukh Khan answers why he won’t do bike stunt like Tom Cruise and how he deals with nervousness,"Shah Rukh Khan's latest #AskSRK session on X was all about wit and humour.

Shah Rukh Khan answers why he won’t do bike stunt like Tom Cruise and how he deals with nervousness

Shah Rukh Khan answers why he won’t do bike stunt like Tom Cruise and how he deals with nervousness

It’s always a treat when Shah Rukh Khan interacts with fans during his #AskSRK sessions on X. The actor’s most recent conversation with fans was a delightful mix of witty responses and insights into dealing with nerves and stress.

When a fan asked Shah Rukh how he deals with nervousness and stress, the actor revealed that he spends time with his kids to get over it. He wrote, “I deal with nerves by being Nervous….and Quiet on my own. I write a bit and spend time with kids. #Dunki.”

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
"Shah Rukh Khan is rooting for daughter Suhana’s The Archies, says she loves Dunki: ‘Between the two of us, we’re all sorted’","Shah Rukh Khan is rooting for daughter Suhana’s The Archies, says she loves Dunki: ‘Between the two of us, we’re all sorted’

Shah Rukh Khan is rooting for daughter Suhana’s The Archies, says she loves Dunki: ‘Between the two of us, we’re all sorted’

Shah Rukh Khan has a lot to look forward to in the month of December. The actor might hit a hattrick this year with three hits in a row with the release of Rajkumar Hirani’s Dunki, since he already has registered hits with Pathaan and Jawan. He will also be witnessing the grand debut of his daughter Suhana Khan in Zoya Akhtar’s The Archies. Suhana has been an aspiring actor for a few years now and has studied acting as well. In The Archies, Suhana is playing Veronica and fans are expecting the same kind of magic from her, as they have been seeing from SRK for the last 30 years.

During an #AskSRK session on X (formerly Twitter) on Wednesday, when a fan asked Shah Rukh if he was more excited for his upcoming film or Suhana’s debut, the actor gave a very balanced response. He wrote, “Suhana loves Dunki and I love Archies. Between the two of us I think we are all sorted. #Dunki.”

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
Shah Rukh Khan jokingly tells his fans a secret way to watch Dunki illegally in theatres: ‘When I was young and wanted to watch films…’,"Shah Rukh Khan is gearing up for his third release of the year after Pathaan and Jawan. After dropping a new song “Lutt Putt Gaya” from his upcoming film Dunki, SRK hosted an #AskSRK session on X (formerly Twitter) and chatted with his fans. SRK’s #AskSRK sessions are known for his sense of humour and this time too, he had the funniest responses for his fans who asked him some hilarous questions.

When one of his fans asked if there was an illegal way to watch Dunki in theatres, SRK recalled the time he would convince the projectionist to allow him to watch the films for free, and suggested that his fan try the same. “I used to patao the projectionist when I was young and wanted to watch films. Try it…it may work perhaps. But don’t tell anyone I told u this. It’s our secret. #Dunki,” he wrote.

Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Bollywood
"Mukesh Chhabra says Shah Rukh Khan’s Dunki will ‘break all records’, calls it film of a lifetime: ‘100 times better than 3 Idiots’","Casting director Mukesh Chhabra says working on Rajkumar Hirani’s upcoming feature Dunki starring Shah Rukh Khan was an unforgettable experience, as he got to work on a project which he feels will be remembered for years to come.

The social comedy drama marks the first collaboration of Shah Rukh and Rajkumar Hirani, known for acclaimed blockbusters like Sanju, PK, 3 Idiots and the Munna Bhai series. Dunki is billed as a “big journey film” about a group of people wanting to return home — their country India.

In an interview with Indianexpress.com, Mukesh Chhabra, who will be next seen in the Sony LIV musical thriller Chamak, opened up about casting for Dunki and said it is going to be a film that will be “remembered for the next ten years.” This will be Shah Rukh’s third release of the year after Pathaan and Jawan.

Advertisement

“Raju Hirani is an entire film school, working with him is like a film institute. You learn every aspect of filmmaking when you work with that guy. I have done all his ads, PK and Sanju, so I have spent a lot of time. His casting doesn’t get over in a month, it goes on for 2 years because that man eats, breathes, sleeps films.

“When I read the script of Dunki, I was blown away. If you loved 3 idiots, it is going to be 100 times better than that. I have cried whenever I have read the script. Everytime,” he said about the film, which will release on December 21.



Chhabra said he feels fortunate that he gets to work with “immensely talented” makers like Hirani. The casting director said Dunki will remind people of the simplicity of timeless Indian classics.

“The film will break all the records. It is the purest form of filmmaking, like how we remember Anand, Hrishikesh Mukherjee’s films, Do Aankhen Barah Haath? Same way you will be talking about Dunki for many, many years to come. I mean it. Every piece of my heart feels this,” he added.

Advertisement

Mukesh Chhabra, who was seen in a special appearance in Jawan, will be now seen in Sony LIV series Chamak. The show follows the story of Kaala, a young aspiring rapper who comes back to Punjab from Canada and unravels the death of Taara Singh – the legendary singer who was shot dead in the midst of a packed performance.

Created and directed by Rohit Jugraj Chauhan, the musical thriller is set to release on December 7. Chamak features an ensemble of Paramvir Singh Cheema, Manoj Pahwa, Gippy Garewal, Mohit Malik, Isha Talwar, Prince Kanwaljit Singh, Suvinder (Vicky) Pal and Akasa Singh.",Bollywood
